PeriMac_YF1	PeriMac_YF2	PeriMac_YF3	PeriMac_YF4	PeriMac_YF5	PeriMac_OF1	PeriMac_OF2	PeriMac_OF3	PeriMac_OF4	PeriMac_OF5	PeriMac_YM1	PeriMac_YM2	PeriMac_YM3	PeriMac_YM4	PeriMac_YM5	PeriMac_OM1	PeriMac_OM2	PeriMac_OM3	PeriMac_OM4	PeriMac_OM5
1700001G17Rik	5.85595039321479	6.14005316012765	5.97996552446691	5.82318161652906	5.94571450846615	6.05883748204861	5.91621826351657	5.98101004944199	6.05546336976609	5.97175705597887	6.04469776441628	5.78710010110728	6.08204853930754	5.97002313158644	6.05178410915325	5.86268800070809	5.86725273236644	5.93326860039479	6.05760922691575	6.12818448599783
Rab23	7.60676964744591	7.5008819090122	7.46245071169584	7.38910645922669	7.31587268006989	7.4242715068657	7.22322042044477	7.52885299428537	7.25357450963458	7.35522772238554	7.34371293007	7.18089988886975	7.46622628092798	7.49098155082626	7.46060616640782	7.4627523572723	7.55148547015669	7.7036316232053	7.47689779676252	7.32603389620325
Bag2	6.70206251601989	6.7024919317155	6.75895035467682	6.69396404911285	6.50040446853215	6.53726067899098	6.52310798673481	6.51205323330692	6.51220755138592	6.57058625446922	6.47298789687361	6.53086044689602	6.8267050361213	6.7871697541933	6.7172034025388	6.66636905616254	6.82033250431919	6.58877515458518	6.67945081358265	6.43548753956351
Zfp451	10.0686082527224	10.2801813280273	10.2258173590989	10.3556161977343	10.314882996745	9.98720389262676	10.1585873094262	10.1724480214199	10.1645953134708	10.3098192148321	10.150875280417	10.2707985250072	10.3194842941278	10.2786312442759	10.5603351978937	9.90365971472594	10.0570718507813	9.92830674777203	10.2212520212971	10.2367643332344
Gm15455	6.42702056950832	6.65954719429573	6.33353140250202	6.59720182455364	6.3549237854813	6.39727219427771	6.42711546665915	6.36799622927413	6.19007173517113	6.34997059615379	6.57798347122591	6.56958857658877	6.37923093366365	6.12714849036917	6.44756495056495	6.38207096158239	6.65017669521078	6.35418775551922	6.42100282603211	6.71307118835828
Bend6	7.79683389229851	7.45228017386807	7.55416919073618	7.65048383751416	7.59038510761163	7.56568228986258	7.69010051709953	7.66268273359226	7.6987979071825	7.64263789077942	7.43520530695259	7.64025005686393	7.65311768406765	7.78736695545944	7.25931438374045	7.42322018308312	7.27575576519623	7.69683137148196	7.48588286012442	7.33725120862855
Dst	8.31926926784745	7.91613411858432	8.66660798253761	7.9716808879423	7.75439723259673	8.65953234908829	8.77466769093554	8.87332530060895	8.73082433672788	8.86213714293633	8.17098842590709	7.96049018140405	8.04142841940251	8.18807101264005	8.16884789200624	8.53836145301691	8.4507618507614	8.30018477523211	8.39684549293227	8.70354170650802
Mir5103	6.71670827944111	6.64477305025824	6.73889365702503	6.91841392915017	6.9027608373256	6.7626679784885	6.74546497682857	6.87462216752632	6.68081577184111	6.70082082973333	6.52715387778674	6.53086044689602	6.46345576074137	6.43389008661359	6.50511742916913	6.48824332945939	6.65017669521078	6.1839977186468	6.83387145087556	6.6080209627315
Ccdc115	9.09780058749987	9.29121531388229	9.28200339475919	9.11175211524956	9.22476240724792	9.20339797104251	9.135400838682	9.02229251108571	9.19204375342501	9.10434341600627	9.2323799964042	9.13687768305107	9.20366448714184	9.39300249887199	9.24868712053633	9.32487797258769	9.20949606330017	9.34900278530285	9.2067187454899	9.45317240109648
Imp4	8.94035530853171	8.986505443484	8.70904722294442	8.93864675852814	8.95100635654366	8.89527858230853	8.67925118671018	8.73180698644745	8.91731440257413	8.84040633500221	8.97005124243746	8.9339881582645	8.98814568602892	8.81422314909829	8.97582726786514	9.01436310036723	9.04640172685824	8.89024163245354	8.96378856424913	8.84431416096351
