baseMean_F	log2FoldChange_F	lfcSE_F	stat_F	pvalue_F	padj_F	baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Nabp1	897.264829982927	0.0055887707630988	0.00627113607180058	0.891189522777193	0.372827504234893	0.897416947759224	811.533278024017	0.0119651887292891	0.00945745012008762	1.26516012004917	0.205813935077805	0.557175397819985
Myo1b	278.30433726215	-0.0202987863555373	0.0119304951131191	-1.70142028164583	0.0888640955073662	0.591483417332066	383.679649560555	-0.0143459798088004	0.0222423723416889	-0.644984248461289	0.518937393378387	0.801737531168027
Stat4	815.941143827171	-0.0130940893144493	0.00870887639822963	-1.50353371843825	0.132701468684345	0.682298721192641	593.477449309102	-0.0319796467779393	0.0100075487316646	-3.1955524410042	0.00139563417870405	0.0492307913123423
Stat1	5122.23472111512	0.0243517615498489	0.0342573293335737	0.710848219157093	0.477178296451734	0.935318146522769	2780.04683785751	0.0670403068993961	0.0169048659928154	3.96574021514803	7.31685210483201e-05	0.00732614334560005
Gls	1514.28805818652	-0.00782859892959984	0.00477378561218658	-1.63991422438722	0.101023002855976	0.623028291983877	1675.30797867589	-0.00862134554183542	0.00527304481262346	-1.63498431137855	0.102052336494558	0.421990258018796
Nab1	1558.16621137501	-0.00068729628723317	0.00464578431291685	-0.147939775275889	0.882390297433294	0.991237894840908	1656.97233180205	0.00250316916345409	0.00581469914821205	0.430489884282969	0.66683932358303	0.881350759870246
Tmem194b	100.237597794942	0.0065822261494391	0.0107240373020713	0.613782474270932	0.539359079919002	0.947939113965855	102.134208646755	-0.0182664331520049	0.00861329200366064	-2.12072609917807	0.0339448588545809	0.263977429043595
Mfsd6	3359.20258413918	-0.00138868844340196	0.00803679701484729	-0.172791280013229	0.862815491487439	0.98925529157635	2712.32916924516	-0.0180435823149484	0.0105130409480933	-1.71630476890902	0.0861062759418447	0.394164287838285
Inpp1	198.012832974173	0.00629620923175752	0.00731295174473237	0.86096687788112	0.389256285741341	0.904969107077811	141.376841978076	-0.00881279559968628	0.0204527684729024	-0.430885217879537	0.666551832249521	0.881207080445222
Hibch	408.660670166747	0.00226786544007242	0.00723108963179494	0.313627068056337	0.753804298741994	0.98313209090368	346.044550460808	-0.0073995390127834	0.00982632859734796	-0.753031912120309	0.451430737665349	0.759467953911994
Pms1	99.2022870590908	-0.00727634587936819	0.0115688132668333	-0.628962168507705	0.529373823951632	0.947692242600344	118.590641490868	-0.000698966534010048	0.0101126095914643	-0.0691183148808616	0.944895442724564	0.987802527793595
Ormdl1	92.6580648435224	-0.0179412222216635	0.0117496049055469	-1.5269638737549	0.126769994887429	0.670842856649299	99.442880398112	0.0143886777949037	0.00918963432679354	1.56575085397595	0.117406955809197	0.444673117528918
