baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Ppil3	167.227463817719	-0.0047429823428375	0.00791772446286904	-0.599033518415574	0.54915053307667	0.820182683236091
Nif3l1	143.327883862731	-0.00101425891407772	0.00958861753487074	-0.105777387656686	0.915758978155903	0.977382919181073
Orc2	256.789587770988	-0.00494166021994832	0.00915411767708637	-0.539829221588201	0.589314812802904	0.843994042248584
Fam126b	351.056898295986	-0.00869295893098367	0.00711086008087618	-1.22249050496189	0.221522192375572	0.570733600247916
Ndufb3	92.3866304688824	0.0226205085882831	0.00942955989531048	2.39889335657466	0.0164447032384231	0.186481594392435
Gm20257	69.3804016747264	-0.0224666115710568	0.0157208647721061	-1.42909514818293	0.152976887835444	0.494100465164353
Als2cr12	1.30515839721861	0.0647611522282441	0.101399808676221	0.638671345377311	0.523036757452763	NA
Cflar	3826.85934258341	-0.00921701222221007	0.00729078932834492	-1.26419949982321	0.206158430328447	0.557175397819985
Casp8	1883.57540328625	0.00316417012165997	0.00357314303921887	0.885542528505014	0.375864092748716	0.708486686705184
Trak2	1728.18170651917	-0.00374895109727796	0.00516552247155579	-0.725764163823069	0.467983359323229	0.771422263430063
Stradb	148.329606899403	0.00205112191989546	0.00806124795265883	0.25444223176623	0.799153928005735	0.934568590630363
Tmem237	132.852678974544	0.0218019075506125	0.00906932285038799	2.40391790106797	0.0162204156186107	0.185191641126148
Mpp4	2.7643985645336	-0.0648902972776186	0.0511827695776808	-1.26781527871667	0.204863924639624	NA
Als2	495.347304506983	-0.0024250861437036	0.00661843010347178	-0.366414105126152	0.714056096140786	0.899563716381925
Fzd7	535.462636602468	-0.00397959268374719	0.00620629771382515	-0.641218463445968	0.521380755395471	0.803059968209041
Sumo1	438.838375273303	-0.00252350443275396	0.00617670406561961	-0.408551940637749	0.682868505805261	0.887683474095744
Nop58	581.741392352059	-0.0115707328581525	0.0116534621562835	-0.992900882414036	0.320758259724234	0.661655690758819
Snord70	2.0278361881819	0.0266166998964395	0.0730892361593644	0.364167164620577	0.71573318481256	NA
Snord11	1.86499471966486	-0.0134827403295275	0.0773648187817661	-0.17427482597174	0.861649482450557	NA
Bmpr2	2399.64986245761	-0.00612289663564804	0.00470853281104125	-1.30038313023755	0.193469688891726	0.545016527070811
Fam117b	2611.82803843353	-0.0103345239998575	0.00614981825835254	-1.68046006657536	0.0928678376733858	0.406720493170869
Ica1l	18.1816201067049	-0.000856324010232142	0.0267065358151514	-0.0320642114034993	0.974420843888518	0.995034065496634
Wdr12	284.912067708338	-0.00569454652451937	0.00784362642778587	-0.726009401001885	0.467833007406952	0.771422263430063
Carf	198.297351846555	-0.0184358612856437	0.00937650759402658	-1.96617568969799	0.0492783196139126	0.311731841960457
Nbeal1	1267.53934012714	-0.00923223932894634	0.00440776369251105	-2.09454044567595	0.0362118640495875	0.272745598119162
Cyp20a1	456.1902285835	0.000571895416490993	0.00592054523664895	0.0965950590075531	0.923047980487287	0.980421674328296
Abi2	631.315473172385	-0.0104626124710929	0.00546512850959009	-1.91443118908062	0.0555650835709187	0.327274802269634
Raph1	957.12690957152	-0.0377049916625647	0.0163756589040965	-2.30250226164228	0.0213068640274825	0.21154740141993
Cd28	17.630766989882	-0.0884686552851753	0.0433750560259076	-2.03962054209991	0.0413881344365257	0.28848215693437
